Number;Start time in milliseconds;End time in milliseconds;"Text"
264;1730348;1732983;"One minute
he was fine and then..."
265;1734219;1736954;"Burned right through him,
whatever it was."
266;1738156;1740091;"I loved that man."
267;1740125;1741459;"We both did."
268;1741493;1744729;"Robert:
He never had to teach
you much, but me?"
269;1744763;1745997;"You remember me at 16?"
270;1746031;1747966;"- ( Chuckles )
- All I wanted to do"
271;1748000;1750635;"was crack skulls
and fuck girls."
272;1750669;1753571;"- He showed me what was what.
- Aye."
273;1753605;1756941;"Don't look at me like that.
It's not his fault I didn't listen."
274;1760880;1763214;"I need you, Ned--"
275;1763249;1767152;"down at King's Landing, not up here
where you're no damn use to anybody."
276;1768688;1771556;"Lord Eddard Stark,"
277;1771591;1774192;"I would name you
the Hand of the King."
278;1778631;1780699;"I'm not worthy
of the honor."
279;1780733;1784470;"I'm not trying to honor you.
I'm trying to get you to run my kingdom"
280;1784504;1788040;"while I eat, drink and whore
my way to an early grave."
281;1788074;1790175;"Damn it, Ned, stand up."
282;1791444;1793613;"You helped me win
the iron throne,"
283;1793647;1795748;"now help me
keep the damn thing."
284;1796783;1798784;"We were meant
to rule together."
285;1798818;1802887;"If your sister had lived,
we'd have been bound by blood."
286;1802922;1805290;"Well, it's not too late."
287;1806692;1808627;"I have a son,
you have a daughter."
288;1810363;1812197;"We'll join our Houses."
289;1816369;1818905;"<i>( Woman moaning )</i>"
290;1828117;1831185;"( Moaning )"
291;1836191;1840161;"- <i>( Cup falls )</i>
- It is true what they say
about the northern girls."
292;1840196;1842731;"( Giggles )"
293;1848437;1850638;"Did you hear the King's
in Winterfell?"
294;1850672;1852607;"I did hear
something about that."
295;1852641;1854908;"And the Queen
and her twin brother."
296;1854943;1858078;"They say that <i>he</i> is the most
handsome man in the Seven Kingdoms."
297;1858112;1860246;"And the other brother?"
298;1860280;1863316;"- The Queen has two brothers?
- There's the pretty one,"
299;1863350;1866352;"and there's
the clever one."
300;1868221;1871257;"Mmm, I hear they
call him the imp."
301;1871292;1873359;"I hear he hates
that nickname."
302;1873393;1876629;"Oh?
I hear he's
more than earned it."
303;1876664;1879432;"I hear he's a drunken
little lecher,"
304;1879467;1881902;"prone to all manner
of perversions."
305;1881936;1883837;"Clever girl."
306;1885306;1887474;"We've been expecting you,
Lord Tyrion."
307;1888776;1890677;"Have you?"
308;1890711;1892579;"- Oh!
- Already?"
